date_stamp;sku;quantity_sold
2022-01-16;10202;1.0
2022-01-16;10103;2.0
2022-01-16;10165;4.0
2022-01-16;10220;10.0
2022-01-16;10211;8.0
2022-01-16;10164;1.0
2022-01-16;10100;25.0
2022-01-16;10108;3.0
2022-01-16;10140;10.0
2022-01-16;10170;6.0
2022-01-16;10119;48.0
2022-01-16;10169;1.0
2022-01-16;10151;2.0
2022-01-16;10133;3.0
2022-01-16;10120;4.0
2022-01-16;10109;4.0
2022-01-16;10178;7.0
2022-01-16;10212;8.0
2022-01-16;10175;3.0
2022-01-16;10124;1.0
2022-01-16;10177;3.0
2022-01-16;10150;12.0
2022-01-17;10110;1.0
2022-01-17;10193;2.0
2022-01-17;10145;1.0
2022-01-17;10182;2.0
2022-01-17;10166;6.0
2022-01-17;10172;11.0
2022-01-17;10126;14.0
2022-01-17;10167;2.0
2022-01-17;10156;3.0
2022-01-17;10161;2.0
2022-01-17;10144;1.0
2022-01-17;10134;11.0
2022-01-17;10127;1.0
2022-01-17;10139;1.0
2022-01-17;10188;9.0
2022-01-17;10114;1.0
2022-01-17;10101;4.0
2022-01-17;10102;1.0
2022-01-17;10106;7.0
2022-01-17;10113;4.0
2022-01-17;10111;1.0
2022-01-17;10135;5.0
2022-01-17;10117;2.0
2022-01-17;10136;1.0
2022-01-17;10118;2.0
2022-01-17;10104;9.0
2022-01-17;10105;2.0
2022-01-17;10168;1.0
2022-01-17;10146;2.0
2022-01-17;10152;1.0
2022-01-17;10189;10.0
2022-01-17;10122;1.0
2022-01-17;10103;3.0
